sample,db,method,prct_matched,prct_not_matched,p,c
10x_Cca.fq,gtdb,lsh,4.918475407622962,95.08152459237705,3,0
10x_Cil.fq,gtdb,lsh,4.885475572622137,95.11452442737786,3,0
10x_Oryza_sativa.fq,gtdb,lsh,8.288958555207223,91.71104144479278,3,0
10x_Prunus_persica.fq,gtdb,lsh,4.6544767276163626,95.34552327238363,3,0
15x_Arabidopsis_lyrata.fq,gtdb,lsh,5.602471987640062,94.39752801235994,3,0
20x_Arabidopsis_thaliana.fq,gtdb,lsh,4.1399793001035,95.86002069989651,3,0
250x_Bathycoccus_prasinos.fq,gtdb,lsh,9.010454947725261,90.98954505227474,3,0
2x_Nicotiana_sylvestris.fq,gtdb,lsh,2.7479862600687004,97.2520137399313,3,0
2x_Zea_mays.fq,gtdb,lsh,22.09488952555237,77.90511047444762,3,0
5x_Coffee_arabica.fq,gtdb,lsh,3.658481707591462,96.34151829240854,3,0
10x_Cca.fq,gtdb,lsh,1.2629936850315748,98.73700631496844,3,1
10x_Cil.fq,gtdb,lsh,1.3064934675326625,98.69350653246735,3,1
10x_Oryza_sativa.fq,gtdb,lsh,3.8939805300973496,96.10601946990265,3,1
10x_Prunus_persica.fq,gtdb,lsh,1.783491082544587,98.2165089174554,3,1
15x_Arabidopsis_lyrata.fq,gtdb,lsh,1.8689906550467248,98.13100934495328,3,1
20x_Arabidopsis_thaliana.fq,gtdb,lsh,1.3529932350338247,98.64700676496618,3,1
250x_Bathycoccus_prasinos.fq,gtdb,lsh,3.9044804775976116,96.09551952240238,3,1
2x_Nicotiana_sylvestris.fq,gtdb,lsh,0.6239968800155999,99.3760031199844,3,1
2x_Zea_mays.fq,gtdb,lsh,9.929950350248248,90.07004964975175,3,1
5x_Coffee_arabica.fq,gtdb,lsh,0.8054959725201374,99.19450402747988,3,1
10x_Cca.fq,gtdb,lsh,19.217903910480448,80.78209608951956,4,0
10x_Cil.fq,gtdb,lsh,18.97340513297433,81.02659486702565,4,0
10x_Oryza_sativa.fq,gtdb,lsh,20.720896395518025,79.27910360448196,4,0
10x_Prunus_persica.fq,gtdb,lsh,17.300913495432525,82.69908650456748,4,0
15x_Arabidopsis_lyrata.fq,gtdb,lsh,19.556902215488922,80.44309778451108,4,0
20x_Arabidopsis_thaliana.fq,gtdb,lsh,17.588912055439724,82.41108794456028,4,0
250x_Bathycoccus_prasinos.fq,gtdb,lsh,21.643391783041086,78.35660821695892,4,0
2x_Nicotiana_sylvestris.fq,gtdb,lsh,13.234433827830859,86.76556617216913,4,0
2x_Zea_mays.fq,gtdb,lsh,30.632846835765818,69.36715316423418,4,0
5x_Coffee_arabica.fq,gtdb,lsh,16.44441777791111,83.55558222208889,4,0
10x_Cca.fq,gtdb,lsh,4.373978130109349,95.62602186989064,4,1
10x_Cil.fq,gtdb,lsh,4.562977185114074,95.43702281488592,4,1
10x_Oryza_sativa.fq,gtdb,lsh,6.208468957655213,93.7915310423448,4,1
10x_Prunus_persica.fq,gtdb,lsh,4.066479667601662,95.93352033239832,4,1
15x_Arabidopsis_lyrata.fq,gtdb,lsh,4.264478677606612,95.73552132239338,4,1
20x_Arabidopsis_thaliana.fq,gtdb,lsh,3.286483567582162,96.71351643241785,4,1
250x_Bathycoccus_prasinos.fq,gtdb,lsh,7.243463782681086,92.75653621731891,4,1
2x_Nicotiana_sylvestris.fq,gtdb,lsh,2.0489897550512253,97.95101024494879,4,1
2x_Zea_mays.fq,gtdb,lsh,11.480942595287026,88.51905740471298,4,1
