sample,db,method,prct_matched,prct_not_matched,p,c
10x_Cca.fq,gtdb,lsh,4.918475407622962,95.08152459237705,3,0
10x_Cil.fq,gtdb,lsh,4.885475572622137,95.11452442737786,3,0
10x_Oryza_sativa.fq,gtdb,lsh,8.288958555207223,91.71104144479278,3,0
10x_Prunus_persica.fq,gtdb,lsh,4.6544767276163626,95.34552327238363,3,0
15x_Arabidopsis_lyrata.fq,gtdb,lsh,5.602471987640062,94.39752801235994,3,0
20x_Arabidopsis_thaliana.fq,gtdb,lsh,4.1399793001035,95.86002069989651,3,0
250x_Bathycoccus_prasinos.fq,gtdb,lsh,9.010454947725261,90.98954505227474,3,0
2x_Nicotiana_sylvestris.fq,gtdb,lsh,2.7479862600687004,97.2520137399313,3,0
2x_Zea_mays.fq,gtdb,lsh,22.09488952555237,77.90511047444762,3,0
5x_Coffee_arabica.fq,gtdb,lsh,3.658481707591462,96.34151829240854,3,0
10x_Cca.fq,gtdb,lsh,1.2629936850315748,98.73700631496844,3,1
10x_Cil.fq,gtdb,lsh,1.3064934675326625,98.69350653246735,3,1
10x_Oryza_sativa.fq,gtdb,lsh,3.8939805300973496,96.10601946990265,3,1
10x_Prunus_persica.fq,gtdb,lsh,1.783491082544587,98.2165089174554,3,1
15x_Arabidopsis_lyrata.fq,gtdb,lsh,1.8689906550467248,98.13100934495328,3,1
20x_Arabidopsis_thaliana.fq,gtdb,lsh,1.3529932350338247,98.64700676496618,3,1
250x_Bathycoccus_prasinos.fq,gtdb,lsh,3.9044804775976116,96.09551952240238,3,1
2x_Nicotiana_sylvestris.fq,gtdb,lsh,0.6239968800155999,99.3760031199844,3,1
2x_Zea_mays.fq,gtdb,lsh,9.929950350248248,90.07004964975175,3,1
5x_Coffee_arabica.fq,gtdb,lsh,0.8054959725201374,99.19450402747988,3,1
10x_Cca.fq,gtdb,lsh,0.8399958000209999,99.160004199979,3,2
10x_Cil.fq,gtdb,lsh,0.8789956050219748,99.12100439497804,3,2
10x_Oryza_sativa.fq,gtdb,lsh,2.6279868600657,97.3720131399343,3,2
10x_Prunus_persica.fq,gtdb,lsh,1.3619931900340498,98.63800680996593,3,2
15x_Arabidopsis_lyrata.fq,gtdb,lsh,1.1459942700286498,98.85400572997135,3,2
20x_Arabidopsis_thaliana.fq,gtdb,lsh,0.9329953350233248,99.0670046649767,3,2
250x_Bathycoccus_prasinos.fq,gtdb,lsh,2.4959875200624,97.50401247993759,3,2
2x_Nicotiana_sylvestris.fq,gtdb,lsh,0.3959980200098999,99.6040019799901,3,2
2x_Zea_mays.fq,gtdb,lsh,4.673976630116848,95.32602336988316,3,2
5x_Coffee_arabica.fq,gtdb,lsh,0.4739976300118499,99.52600236998815,3,2
10x_Cca.fq,gtdb,lsh,0.6704966475167624,99.32950335248323,3,3
10x_Cil.fq,gtdb,lsh,0.7049964750176249,99.29500352498238,3,3
10x_Oryza_sativa.fq,gtdb,lsh,1.8419907900460497,98.15800920995396,3,3
10x_Prunus_persica.fq,gtdb,lsh,1.178994105029475,98.82100589497051,3,3
15x_Arabidopsis_lyrata.fq,gtdb,lsh,0.7964960175199124,99.20350398248009,3,3
20x_Arabidopsis_thaliana.fq,gtdb,lsh,0.7214963925180373,99.27850360748195,3,3
250x_Bathycoccus_prasinos.fq,gtdb,lsh,1.7999910000450001,98.200008999955,3,3
2x_Nicotiana_sylvestris.fq,gtdb,lsh,0.302998485007575,99.69700151499242,3,3
2x_Zea_mays.fq,gtdb,lsh,2.3939880300598504,97.60601196994014,3,3
