sample,db,method,prct_matched,prct_not_matched
10x_Cca.fq,gtdb,kraken,10.99,89.01
10x_Cil.fq,gtdb,kraken,11.09,88.91
10x_Oryza_sativa.fq,gtdb,kraken,13.56,86.44
10x_Prunus_persica.fq,gtdb,kraken,9.45,90.55
15x_Arabidopsis_lyrata.fq,gtdb,kraken,10.92,89.08
20x_Arabidopsis_thaliana.fq,gtdb,kraken,9.13,90.87
250x_Bathycoccus_prasinos.fq,gtdb,kraken,10.03,89.97
2x_Nicotiana_sylvestris.fq,gtdb,kraken,6.29,93.71
2x_Zea_mays.fq,gtdb,kraken,25.63,74.37
5x_Coffee_arabica.fq,gtdb,kraken,8.02,91.98
10x_Cca.fq,kraken_std_bact_arch,kraken,5.4,94.6
10x_Cil.fq,kraken_std_bact_arch,kraken,5.39,94.61
10x_Oryza_sativa.fq,kraken_std_bact_arch,kraken,4.08,95.92
10x_Prunus_persica.fq,kraken_std_bact_arch,kraken,4.46,95.54
15x_Arabidopsis_lyrata.fq,kraken_std_bact_arch,kraken,4.15,95.85
20x_Arabidopsis_thaliana.fq,kraken_std_bact_arch,kraken,3.47,96.53
250x_Bathycoccus_prasinos.fq,kraken_std_bact_arch,kraken,5.48,94.52
2x_Nicotiana_sylvestris.fq,kraken_std_bact_arch,kraken,2.31,97.69
2x_Zea_mays.fq,kraken_std_bact_arch,kraken,2.06,97.94
5x_Coffee_arabica.fq,kraken_std_bact_arch,kraken,3.06,96.94
10x_Cca.fq,refseq,kraken,12.01,87.99
10x_Cil.fq,refseq,kraken,12.21,87.78999999999998
10x_Oryza_sativa.fq,refseq,kraken,17.56,82.44
10x_Prunus_persica.fq,refseq,kraken,14.89,85.11
15x_Arabidopsis_lyrata.fq,refseq,kraken,11.81,88.19
20x_Arabidopsis_thaliana.fq,refseq,kraken,9.59,90.41
250x_Bathycoccus_prasinos.fq,refseq,kraken,11.33,88.67
2x_Nicotiana_sylvestris.fq,refseq,kraken,7.38,92.62
2x_Zea_mays.fq,refseq,kraken,43.14,56.86
5x_Coffee_arabica.fq,refseq,kraken,9.26,90.74
10x_Cca.fq,tol_all_kmers,kraken,6.22,93.78
10x_Cil.fq,tol_all_kmers,kraken,6.2,93.8
10x_Oryza_sativa.fq,tol_all_kmers,kraken,5.0,95.0
10x_Prunus_persica.fq,tol_all_kmers,kraken,6.0,94.0
15x_Arabidopsis_lyrata.fq,tol_all_kmers,kraken,5.97,94.03
20x_Arabidopsis_thaliana.fq,tol_all_kmers,kraken,4.15,95.85
250x_Bathycoccus_prasinos.fq,tol_all_kmers,kraken,6.45,93.55
2x_Nicotiana_sylvestris.fq,tol_all_kmers,kraken,3.11,96.89
2x_Zea_mays.fq,tol_all_kmers,kraken,2.37,97.63
5x_Coffee_arabica.fq,tol_all_kmers,kraken,3.78,96.22
10x_Cca.fq,gtdb,lsh,4.918475407622962,95.08152459237705
10x_Cil.fq,gtdb,lsh,4.885475572622137,95.11452442737786
10x_Oryza_sativa.fq,gtdb,lsh,8.288958555207223,91.71104144479278
10x_Prunus_persica.fq,gtdb,lsh,4.6544767276163626,95.34552327238363
15x_Arabidopsis_lyrata.fq,gtdb,lsh,5.602471987640062,94.39752801235994
20x_Arabidopsis_thaliana.fq,gtdb,lsh,4.1399793001035,95.86002069989651
250x_Bathycoccus_prasinos.fq,gtdb,lsh,9.010454947725261,90.98954505227474
2x_Nicotiana_sylvestris.fq,gtdb,lsh,2.7479862600687004,97.2520137399313
2x_Zea_mays.fq,gtdb,lsh,22.09488952555237,77.90511047444762
5x_Coffee_arabica.fq,gtdb,lsh,3.658481707591462,96.34151829240854
10x_Cca.fq,kraken_std_bact_arch,lsh,4.529977350113249,95.47002264988674
10x_Cil.fq,kraken_std_bact_arch,lsh,4.580977095114526,95.41902290488548
10x_Oryza_sativa.fq,kraken_std_bact_arch,lsh,3.4004829975850117,96.59951700241498
10x_Prunus_persica.fq,kraken_std_bact_arch,lsh,4.358978205108976,95.64102179489105
15x_Arabidopsis_lyrata.fq,kraken_std_bact_arch,lsh,3.7079814600927,96.2920185399073
20x_Arabidopsis_thaliana.fq,kraken_std_bact_arch,lsh,3.2654836725816367,96.73451632741836
250x_Bathycoccus_prasinos.fq,kraken_std_bact_arch,lsh,7.679961600192,92.32003839980801
2x_Nicotiana_sylvestris.fq,kraken_std_bact_arch,lsh,2.2034889825550867,97.79651101744491
2x_Zea_mays.fq,kraken_std_bact_arch,lsh,2.0114899425502872,97.98851005744972
5x_Coffee_arabica.fq,kraken_std_bact_arch,lsh,2.9969850150749244,97.00301498492507
10x_Cca.fq,refseq,lsh,6.644966775166122,93.35503322483387
10x_Cil.fq,refseq,lsh,6.034469827650862,93.96553017234913
10x_Oryza_sativa.fq,refseq,lsh,16.459417702911487,83.54058229708852
10x_Prunus_persica.fq,refseq,lsh,12.946435267823661,87.05356473217634
15x_Arabidopsis_lyrata.fq,refseq,lsh,6.811465942670286,93.18853405732972
20x_Arabidopsis_thaliana.fq,refseq,lsh,5.138974305128475,94.86102569487151
250x_Bathycoccus_prasinos.fq,refseq,lsh,8.138959305203473,91.86104069479653
2x_Nicotiana_sylvestris.fq,refseq,lsh,4.609476952615237,95.39052304738476
2x_Zea_mays.fq,refseq,lsh,52.44273778631106,47.55726221368894
5x_Coffee_arabica.fq,refseq,lsh,5.047474762626186,94.95252523737379
10x_Cca.fq,tol_all_kmers,lsh,4.346978265108675,95.65302173489133
10x_Cil.fq,tol_all_kmers,lsh,4.483477582612086,95.51652241738792
10x_Oryza_sativa.fq,tol_all_kmers,lsh,3.794981025094875,96.20501897490513
10x_Prunus_persica.fq,tol_all_kmers,lsh,6.089969550152249,93.91003044984778
15x_Arabidopsis_lyrata.fq,tol_all_kmers,lsh,5.740471297643513,94.25952870235649
20x_Arabidopsis_thaliana.fq,tol_all_kmers,lsh,3.373483132584337,96.62651686741566
250x_Bathycoccus_prasinos.fq,tol_all_kmers,lsh,8.027959860200701,91.97204013979929
2x_Nicotiana_sylvestris.fq,tol_all_kmers,lsh,2.5019874900625494,97.49801250993744
2x_Zea_mays.fq,tol_all_kmers,lsh,1.8929905350473248,98.10700946495268
5x_Coffee_arabica.fq,tol_all_kmers,lsh,2.9009854950725247,97.09901450492748
