"DB","METHOD","x.x","x.y","condition"
"gtdb","kraken",60.8061707317073,11.511,"0.00"
"gtdb","lsh",73.3780963457251,7.000164999175,"p3c0"
"kraken_std_bact_arch","kraken",29.0620802517703,3.986,"0.00"
"kraken_std_bact_arch","lsh",42.9380826935088,3.87358063209684,"p3c0"
"tol_all_kmers","kraken",36.9310393391031,4.925,"0.00"
"tol_all_kmers","lsh",51.4292338732312,4.31532842335788,"p3c0"
"gtdb","kraken",59.1179331235248,10.106,"0.00"
"gtdb","lsh",58.9954505836588,2.67328663356683,"p3c0"
"kraken_std_bact_arch","kraken",25.7260841856806,3.396,"0.00"
"kraken_std_bact_arch","lsh",29.4726423534415,1.24934375328123,"p3c0"
"tol_all_kmers","kraken",34.6311369000787,4.204,"0.00"
"tol_all_kmers","lsh",37.7976790722406,1.51154244228779,"p3c0"
"gtdb","lsh",83.0567303104671,19.5314023429883,"p3c0"
"kraken_std_bact_arch","kraken",23.7638741148702,2.803,"0.00"
"kraken_std_bact_arch","lsh",61.5670822168145,15.401622991885,"p3c0"
"tol_all_kmers","kraken",32.4201785995279,3.477,"0.00"
"tol_all_kmers","lsh",68.1256331411977,16.7805660971695,"p3c0"
"gtdb","lsh",66.176383979917,5.0281248593757,"p3c0"
"kraken_std_bact_arch","kraken",16.6984335169158,0.983,"0.00"
"kraken_std_bact_arch","lsh",39.1568267059112,3.49048254758726,"p3c0"
"tol_all_kmers","kraken",24.3666758457907,1.226,"0.00"
"tol_all_kmers","lsh",47.0711629922095,3.71938140309298,"p3c0"
