FP,weighted_recall,K,tool,sw_version,min_version,p,l,clmn,tag_size,map_size_G,kmer_cnt,kmer_l_0,kmer_l_1,kmer_l_2,kmers_included,prct_included,apparent_DB_size
0.030872846,0.67225723,15,us,17.4,3,3,1,7,2,78,14026601864,6654711288,0,0,6654711288,0.474435031,80
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067,120
0.050254249,0.705097656,15,us,17.4,3,3,3,7,2,137,14026601864,5911040147,5687269986,6018356670,7999754805,0.57032736,150
0.036283319,0.680494779,15,us,17.4,3,3,1,10,2,95,14026601864,7999997598,0,0,7999997598,0.570344669,102
0.049802751,0.699977364,15,us,17.4,3,3,2,10,2,120,14026601864,6856235657,6684209717,0,7999966400,0.570342445,145
0.056429718,0.706753512,15,us,17.4,3,3,3,10,2,148,14026601864,6530452207,6381191311,6589802812,7999914066,0.57033871,187
,,,,,,,,,,,,,,,,,
0.037742811,0.692775218,15,us,17.4,3,3,2,7,0,114,14026601864,6452987328,6176482947,0,7999740445,0.570326336,120
0.041263294,0.694649936,15,us,17.4,3,3,2,7,1,114,14026601864,6321825558,6001273639,0,7999961006,0.57034206,120
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6321799303,6001251256,0,7999918780,0.57033905,120
0.04592377,0.696743244,15,us,17.4,3,3,2,7,3,114,14026601864,6453145834,6176621263,0,7999993927,0.570344407,120
,,,,,,,,,,,,,,,,,
0.032834836,0.67809861,15,us,17.4,3,3,2,4,2,76,14026601864,4170492938,3976074763,0,5522668443,0.393728181,77
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067,120
0.049802751,0.699977364,15,us,17.4,3,3,2,10,2,120,14026601864,6856235657,6684209717,0,7999966400,0.570342445,145
0.054560727,0.702475942,15,us,17.4,3,3,2,13,2,125,14026601864,7119283185,7003516882,0,7999741343,0.5703264,169
0.058478708,0.704312342,15,us,17.4,3,3,2,16,2,128,14026601864,7285998454,7202683449,0,7999980028,0.570343416,194
,,,,,,,,,,,,,,,,,
0.043153284,0.695594249,15,us,17.4,3,3,2,7,2,114,14026601864,6392473504,6113148011,0,7999975120,0.570343067,120
0.039017805,0.688790965,14,us,17.4,3,3,2,16,2,73,14026601864,4121906631,4113535803,0,5311534414,0.378675781,74
