sample,annot_tool_x,condition_x,len_node1_x,lrgst_mito_node_x,len_lrgst_mito_node_x,total_genes_mito_node_x,CDS_mito_node_x,tRNA_mito_node_x,rRNA_mito_node_x,closely_related_species_x,gtype_x,gene,is_found_x,Run_x,Species_x,Assembly length (bp)_x,mtDNA (%)_x,GenBank ID_x,Publicly Available Genus_x,Publicly Available Species_x,group_x,annot_tool_y,condition_y,len_node1_y,lrgst_mito_node_y,len_lrgst_mito_node_y,total_genes_mito_node_y,CDS_mito_node_y,tRNA_mito_node_y,rRNA_mito_node_y,closely_related_species_y,gtype_y,is_found_y,Run_y,Species_y,Assembly length (bp)_y,mtDNA (%)_y,GenBank ID_y,Publicly Available Genus_y,Publicly Available Species_y,group_y
SRR11537150,mitoS,filt,16621,NODE_1_16621,16621,37,13,22,2,,CDS,nad1,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3,mitoS,unfilt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537214,mitoS,filt,15137,NODE_1_15137,15137,33,12,19,2,,CDS,nad1,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2,mitoS,unfilt,26963.0,,0,0,0,0,0,,CDS,0,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11679474,mitoS,filt,6088,NODE_1_6088,6088,13,2,10,1,,CDS,nad1,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2,mitoS,unfilt,19441.0,,0,0,0,0,0,,CDS,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679507,mitoS,filt,17233,NODE_1_17233,17233,37,13,22,2,,CDS,nad1,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3,mitoS,unfilt,45960.0,NODE_13_16813,16813,37,13,22,2,,CDS,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679510,mitoS,filt,16548,NODE_1_16548,16548,37,13,22,2,,CDS,nad1,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3,mitoS,unfilt,24761.0,NODE_3_16548,16548,37,13,22,2,,CDS,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679513,mitoS,filt,16623,NODE_1_16623,16623,37,13,22,2,,CDS,nad1,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3,mitoS,unfilt,16520.0,NODE_1_16520,16520,37,13,22,2,,CDS,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679515,mitoS,filt,16736,NODE_1_16736,16736,37,13,22,2,,CDS,nad1,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2,mitoS,unfilt,6989.0,,0,0,0,0,0,,CDS,0,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679516,mitoS,filt,16513,NODE_1_16513,16513,37,13,22,2,,CDS,nad1,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3,mitoS,unfilt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679527,mitoS,filt,15077,NODE_1_15077,15077,33,12,19,2,,CDS,nad1,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2,mitoS,unfilt,7487.0,,0,0,0,0,0,,CDS,0,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679528,mitoS,filt,16483,NODE_1_16483,16483,37,13,22,2,,CDS,nad1,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3,mitoS,unfilt,28158.0,NODE_3_16483,16483,37,13,22,2,,CDS,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
