fname,sp,method,db,prct_matched,prct_not_matched
SRR6425989,Drosophila_bipectinata,lsh,gtdb_p4c2,4.649158780504265,95.35084121949573
SRR6425990,Drosophila_erecta,lsh,gtdb_p4c2,1.69225348333065,98.30774651666935
SRR6425991,Drosophila_ananassae,lsh,gtdb_p4c2,7.004336681046487,92.99566331895352
SRR6425992,Drosophila_biarmipes,lsh,gtdb_p4c2,1.29067152363496,98.70932847636504
SRR6425993,Drosophila_mauritiana,lsh,gtdb_p4c2,2.490003189166646,97.50999681083336
SRR6425995,Drosophila_eugracilis,lsh,gtdb_p4c2,3.5411117472803766,96.45888825271962
SRR6425997,Drosophila_mojavensis,lsh,gtdb_p4c2,2.2663711401642472,97.73362885983575
SRR6425998,Drosophila_persimilis,lsh,gtdb_p4c2,3.120857240168723,96.87914275983128
SRR6425999,Drosophila_simulans,lsh,gtdb_p4c2,1.2529291519170365,98.74707084808297
SRR6426000,Drosophila_virilis,lsh,gtdb_p4c2,6.740577482501493,93.2594225174985
SRR6426001,Drosophila_pseudoobscura,lsh,gtdb_p4c2,2.1611629188315202,97.83883708116848
SRR6426002,Drosophila_sechellia,lsh,gtdb_p4c2,2.736034659578476,97.26396534042152
SRR6426003,Drosophila_willistoni,lsh,gtdb_p4c2,2.4834209788039225,97.51657902119608
SRR6426004,Drosophila_yakuba,lsh,gtdb_p4c2,1.7218015544807168,98.27819844551928
