sample,annot_tool,condition,len_node1,lrgst_mito_node,len_lrgst_mito_node,total_genes_mito_node,CDS_mito_node,tRNA_mito_node,rRNA_mito_node,closely_related_species,gtype,gene,is_found,Run,Species,Assembly length (bp),mtDNA (%),GenBank ID,Publicly Available Genus,Publicly Available Species,group
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad1,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad2,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad3,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad4,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad4l,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad5,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,nad6,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,cox1,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,cox2,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,cox3,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,atp6,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,atp8,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,CDS,cob,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,rRNA,rrnS,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537150,mitoS,filt,16621.0,NODE_1_16621,16621,37,13,22,2,,rRNA,rrnL,1,SRR11537150,Centrolabrus exoletus,16494.0,1.6414,MT410926,0,0,3
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad1,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad2,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad3,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad4,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad4l,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad5,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,nad6,0,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,cox1,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,cox2,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,cox3,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,atp6,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,atp8,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,CDS,cob,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,rRNA,rrnS,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11537214,mitoS,filt,15137.0,NODE_1_15137,15137,33,12,19,2,,rRNA,rrnL,1,SRR11537214,Asio flammeus,10466.0,0.0279,MN122899,1,1,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad1,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad2,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad3,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad4,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad4l,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad5,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,nad6,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,cox1,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,cox2,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,cox3,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,atp6,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,atp8,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,CDS,cob,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,rRNA,rrnS,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoS,filt,6088.0,NODE_1_6088,6088,13,2,9,2,,rRNA,rrnL,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad1,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad2,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad3,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad4,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad4l,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad5,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,nad6,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,cox1,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,cox2,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,cox3,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,atp6,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,atp8,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,CDS,cob,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,rRNA,rrnS,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679507,mitoS,filt,17233.0,NODE_1_17233,17233,37,13,22,2,,rRNA,rrnL,1,SRR11679507,Taurulus bubalis,16854.0,0.4018,MT410868,0,0,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad1,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad2,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad3,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad4,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad4l,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad5,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,nad6,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,cox1,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,cox2,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,cox3,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,atp6,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,atp8,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,CDS,cob,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,rRNA,rrnS,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679510,mitoS,filt,16548.0,NODE_1_16548,16548,37,13,22,2,,rRNA,rrnL,1,SRR11679510,Physeter catodon,16491.0,0.321,MT410874,0,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad1,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad2,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad3,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad4,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad4l,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad5,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,nad6,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,cox1,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,cox2,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,cox3,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,atp6,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,atp8,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,CDS,cob,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,rRNA,rrnS,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679513,mitoS,filt,16623.0,NODE_1_16623,16623,37,13,22,2,,rRNA,rrnL,1,SRR11679513,Lagenorhynchus albirostris,16393.0,2.031,MT410901,2,1,3
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad1,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad2,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad3,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad4,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad4l,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad5,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,nad6,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,cox1,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,cox2,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,cox3,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,atp6,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,atp8,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,CDS,cob,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,rRNA,rrnS,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679515,mitoS,filt,16736.0,NODE_1_16736,16736,37,13,22,2,,rRNA,rrnL,1,SRR11679515,Tamias sibiricus,3746.0,0.0049,MT410867,7,1,2
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad1,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad2,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad3,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad4,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad4l,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad5,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,nad6,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,cox1,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,cox2,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,cox3,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,atp6,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,atp8,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,CDS,cob,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,rRNA,rrnS,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679516,mitoS,filt,16513.0,NODE_1_16513,16513,37,13,22,2,,rRNA,rrnL,1,SRR11679516,Delphinus delphis,16386.0,2.8277,MT410915,1,1,3
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad1,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad2,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad3,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad4,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad4l,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad5,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,nad6,0,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,cox1,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,cox2,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,cox3,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,atp6,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,atp8,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,CDS,cob,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,rRNA,rrnS,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679527,mitoS,filt,15077.0,NODE_1_15077,15077,33,12,19,2,,rRNA,rrnL,1,SRR11679527,Lullula arborea,3018.0,0.0114,MT410892,0,0,2
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad1,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad2,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad3,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad4,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad4l,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad5,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,nad6,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,cox1,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,cox2,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,cox3,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,atp6,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,atp8,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,CDS,cob,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,rRNA,rrnS,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
SRR11679528,mitoS,filt,16483.0,NODE_1_16483,16483,37,13,22,2,,rRNA,rrnL,1,SRR11679528,Arvicola amphibius,16356.0,0.5788,MN122828,0,0,3
