fname,sp,method,db,prct_matched,prct_not_matched
SRR6425989,Drosophila_bipectinata,lsh,gtdb,7.66934701,92.33065299
SRR6425990,Drosophila_erecta,lsh,gtdb,4.749603889,95.25039611
SRR6425991,Drosophila_ananassae,lsh,gtdb,10.15169858,89.84830142
SRR6425992,Drosophila_biarmipes,lsh,gtdb,4.086510125,95.91348988
SRR6425993,Drosophila_mauritiana,lsh,gtdb,5.19686971,94.80313029
SRR6425995,Drosophila_eugracilis,lsh,gtdb,6.424784048,93.57521595
SRR6425997,Drosophila_mojavensis,lsh,gtdb,5.922204739,94.07779526
SRR6425998,Drosophila_persimilis,lsh,gtdb,6.411485761,93.58851424
SRR6425999,Drosophila_simulans,lsh,gtdb,3.86672982,96.13327018
SRR6426000,Drosophila_virilis,lsh,gtdb,9.83822614,90.16177386
SRR6426001,Drosophila_pseudoobscura,lsh,gtdb,5.445903986,94.55409601
SRR6426002,Drosophila_sechellia,lsh,gtdb,5.258063166,94.74193683
SRR6426003,Drosophila_willistoni,lsh,gtdb,5.464660272,94.53533973
SRR6426004,Drosophila_yakuba,lsh,gtdb,4.578028369,95.42197163
