sample,annot_tool,condition,len_node1,lrgst_mito_node,len_lrgst_mito_node,total_genes_mito_node,CDS_mito_node,tRNA_mito_node,rRNA_mito_node,closely_related_species,gtype,gene,is_found,Run,Species,Assembly length (bp),mtDNA (%),GenBank ID,Publicly Available Genus,Publicly Available Species,group
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND1,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND2,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND3,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND4,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND4L,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND5,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ND6,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,COX1,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,COX2,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,COX3,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ATP6,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,ATP8,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,CDS,CYTB,0,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,rRNA,s-rRNA,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR11679474,mitoZ,filt,6088.0,NODE_1_6088,6088,12,2,8,2,Repomucenus_curvicornis,rRNA,l-rRNA,1,SRR11679474,Callionymus reticulatus,4644.0,0.0138,MT410925,2,0,2
SRR12432371,mitoZ,filt,4125.0,NODE_1_4125,4125,10,5,5,0,Microtus_levis,CDS,ND1,0,SRR12432371,Microtus arvalis,,,,7,1,1
SRR12432371,mitoZ,filt,4125.0,NODE_1_4125,4125,10,5,5,0,Microtus_levis,CDS,ND2,0,SRR12432371,Microtus arvalis,,,,7,1,1
SRR12432371,mitoZ,filt,4125.0,NODE_1_4125,4125,10,5,5,0,Microtus_levis,CDS,ND3,1,SRR12432371,Microtus arvalis,,,,7,1,1
SRR12432371,mitoZ,filt,4125.0,NODE_1_4125,4125,10,5,5,0,Microtus_levis,CDS,ND4,1,SRR12432371,Microtus arvalis,,,,7,1,1
SRR12432371,mitoZ,filt,4125.0,NODE_1_4125,4125,10,5,5,0,Microtus_levis,CDS,ND4L,1,SRR12432371,Microtus arvalis,,,,7,1,1
